'35','2','10/16/2021 00:00:00','Corrugated','Really Good Corrugated Packaging','Costco','Costco','8.00','8"','Costco','2334 Walle Lane','Omak','WA','98841','500','New','True','Brand new costco 8" Corrugated'
'37','2','10/16/2021 00:00:00','Plastics','Plastic Cherry Clam Shells','Northwest','Big Packaging','2.50','6"','Clamshell','2334 Walle Lane','Omak','WA','98841','300','Slightly Weathered','True','Stored under cover but outdoors. 6" Cherry Clamshells'
'1','1','09/08/2021 00:00:00','Trays','Apple Trays','Keyes','Keyes','586.21','56','Apple Tray','233b Cameron Lake RD','Okanogan','WA','98840','4285','OK','True','OK condition'
'2','1','09/21/2021 00:00:00','Trays','Apple Tray','Keyes','Keyes','427.23','36','Tray Pack','233b Cameron Lake RD','Okanogan','WA','98840','3840','good','True','Good condition'
'3','1','09/21/2021 00:00:00','Trays','Apple Tray','Keyes','Keyes','527.23','48A','Tray Pack','233b Cameron Lake RD','Okanogan','WA','98840','3840','good','True','In good to moderate condition'
'4','1','09/21/2021 00:00:00','Trays','Apple Tray','Keyes','Keyes','527.34','48B','Tray Pack','233b Cameron Lake RD','Okanogan','WA','98840','3840','Good','True','Okay'
'5','1','09/21/2021 00:00:00','Trays','Apple Tray','Keyes','Keyes','527.21','56','Tray Pack','233b Cameron Lake RD','Okanogan','WA','98840','3840','Good','True','Moderate condition'
'6','1','09/21/2021 00:00:00','Trays','Apple Tray','Keyes','Keyes','445.32','56','Tray Pack','233b Cameron Lake RD','Okanogan','WA','98840','38400','Good','True','good'
'7','1','09/21/2021 00:00:00','Trays','Apple Tray','Keyes','Keyes','445.23','64A','Tray Pack','233b Cameron Lake RD','Okanogan','WA','98840','7680','Good to Moderate','True','Under cover, good condition'
'8','1','09/21/2021 00:00:00','Trays','Apple Tray','Keyes','Keyes','834.21','64b','Tray Pack','233b Cameron Lake RD','Okanogan','WA','98840','7680','good','True','Been in covered storage for last two years'
'9','1','09/21/2021 00:00:00','Trays','Apple Tray','Keyes','Keyes','768.00','72','Tray Pack','233b Cameron Lake RD','Okanogan','WA','98840','7680','Good','True','good'
